# OpenMagneticScanner Mag-Scan output file. v0.7 
# Parameters :  x_left_init = 120.680000, x_right_init = 159.280000, y_bottom_init = 131.870000, y_top_init = 170.870000, dx = 2.000000, dy = 2.000000, z_bottom = 40.500000, z_top = 70.500000, dz = 2.000000 
X,Y,Z, Bx, By, Bz

120.680000,131.870000,40.500000,8.134000,7.742000,-2.058000
120.680000,133.870000,40.500000,9.310000,8.036000,-2.450000
120.680000,135.870000,40.500000,10.976000,8.428000,-3.332000
120.680000,137.870000,40.500000,12.936000,8.624000,-4.214000
120.680000,139.870000,40.500000,14.896000,8.428000,-4.998000
120.680000,141.870000,40.500000,16.954000,7.840000,-6.370000
120.680000,143.870000,40.500000,18.914000,7.154000,-7.350000
120.680000,145.870000,40.500000,21.070000,5.684000,-7.938000
120.680000,147.870000,40.500000,22.540000,4.018000,-8.624000
120.680000,149.870000,40.500000,23.716000,1.666000,-9.016000
120.680000,151.870000,40.500000,24.010000,-0.588000,-8.918000
120.680000,153.870000,40.500000,23.618000,-3.038000,-8.526000
120.680000,155.870000,40.500000,22.540000,-5.096000,-7.644000
120.680000,157.870000,40.500000,21.070000,-6.370000,-6.860000
120.680000,159.870000,40.500000,19.110000,-7.742000,-5.782000
120.680000,161.870000,40.500000,17.052000,-8.526000,-4.704000
120.680000,163.870000,40.500000,15.190000,-8.918000,-3.430000
120.680000,165.870000,40.500000,13.034000,-9.114000,-2.646000
120.680000,167.870000,40.500000,11.270000,-8.624000,-1.764000
122.680000,167.870000,40.500000,11.760000,-10.388000,-2.548000
124.680000,167.870000,40.500000,12.250000,-12.544000,-3.528000
126.680000,167.870000,40.500000,12.544000,-14.504000,-4.704000
128.680000,167.870000,40.500000,12.446000,-17.248000,-6.076000
130.680000,167.870000,40.500000,11.564000,-19.698000,-7.742000
132.680000,167.870000,40.500000,9.702000,-21.952000,-9.212000
134.680000,167.870000,40.500000,7.448000,-24.206000,-9.996000
136.680000,167.870000,40.500000,4.410000,-25.774000,-11.172000
138.680000,167.870000,40.500000,0.882000,-26.264000,-11.662000
140.680000,167.870000,40.500000,-2.254000,-25.872000,-11.270000
142.680000,167.870000,40.500000,-5.586000,-24.794000,-10.682000
144.680000,167.870000,40.500000,-8.134000,-22.834000,-9.604000
146.680000,167.870000,40.500000,-9.800000,-20.482000,-8.330000
148.680000,167.870000,40.500000,-10.780000,-18.130000,-6.958000
150.680000,167.870000,40.500000,-11.564000,-15.680000,-5.390000
152.680000,167.870000,40.500000,-11.466000,-13.230000,-4.214000
154.680000,167.870000,40.500000,-11.368000,-11.270000,-3.332000
156.680000,167.870000,40.500000,-10.584000,-9.408000,-2.254000
156.680000,165.870000,40.500000,-12.348000,-9.702000,-3.234000
156.680000,163.870000,40.500000,-14.504000,-9.702000,-4.214000
156.680000,161.870000,40.500000,-16.660000,-9.604000,-5.684000
156.680000,159.870000,40.500000,-18.914000,-8.820000,-6.958000
156.680000,157.870000,40.500000,-20.776000,-7.644000,-7.938000
156.680000,155.870000,40.500000,-22.540000,-5.782000,-8.918000
